emotion_key,emotion_text,positive,color,importance,id,tone,sentiment
enthusiastic,enthusiastic,True,orange,1,25,warm,Positive
enthusiastic,enthusiastic,True,yellow,0,25,warm,Positive
cheerful,cheerful,True,orange,0,26,warm,Positive
cheerful,cheerful,True,yellow,0,26,warm,Positive
cheerful,cheerful,True,magenta,0,26,warm,Positive
confident,confident,True,red,0,27,warm,Positive
confident,confident,True,orange,0,27,warm,Positive
confident,confident,True,yellow,0,27,warm,Positive
confident,confident,True,green,0,27,cool,Positive
confident,confident,True,blue,0,27,cool,Positive
confident,confident,True,turquoise,0,27,cool,Positive
confident,confident,True,brown,0,27,neutral,Positive
confident,confident,True,gold,0,27,warm,Positive
confident,confident,True,black,0,27,neutral,Positive
independent,independent,True,orange,0,28,warm,Positive
independent,independent,True,purple,0,28,cool,Positive
independent,independent,True,white,0,28,neutral,Positive
independent,independent,True,black,0,28,neutral,Positive
flamboyant,flamboyant,True,orange,0,29,warm,Positive
extroverted_and_uninhibited,extroverted and uninhibited,True,orange,0,30,warm,Positive
adventurous,adventurous,True,orange,2,31,warm,Positive
risk-taking,risk-taking,True,orange,1,32,warm,Neutral
creative,creative,True,orange,0,33,warm,Positive
creative,creative,True,yellow,1,33,warm,Positive
creative,creative,True,purple,0,33,cool,Positive
creative,creative,True,turquoise,0,33,cool,Positive
creative,creative,True,magenta,0,33,warm,Positive
creative,creative,True,indigo,0,33,cool,Positive
creative,creative,True,white,0,33,neutral,Positive
warm-hearted,warm-hearted,True,orange,0,34,warm,Positive
agreeable,agreeable,True,orange,0,35,warm,Positive
agreeable,agreeable,True,green,1,35,cool,Positive
informal,informal,True,orange,0,36,warm,Positive
superficial_and_insincere,superficial and insincere,False,orange,0,37,warm,Negative
superficial_and_insincere,superficial and insincere,False,silver,0,37,cool,Negative
dependent,dependent,False,orange,0,38,warm,Neutral
self-indulgent,self-indulgent,False,orange,0,39,warm,Negative
exhibitionist,exhibitionist,False,orange,0,40,warm,Negative
pessimistic,pessimistic,False,orange,0,41,warm,Negative
pessimistic,pessimistic,False,yellow,0,41,warm,Negative
pessimistic,pessimistic,False,black,1,41,neutral,Negative
inexpensive,inexpensive,False,orange,0,42,warm,Positive
overly_proud,overly proud,False,orange,0,43,warm,Negative
fun,fun,True,yellow,1,44,warm,Positive
good-humored,good-humored,True,yellow,0,45,warm,Positive
original,original,True,yellow,0,46,warm,Neutral
original,original,True,purple,0,46,cool,Neutral
challenging,challenging,True,yellow,0,47,warm,Neutral
academic_and_analytical,academic and analytical,True,yellow,0,48,warm,Neutral
wise,wise,True,yellow,0,49,warm,Positive
wise,wise,True,silver,0,49,cool,Positive
wise,wise,True,gold,0,49,warm,Positive
wise,wise,True,blue,1,49,cool,Positive
wise,wise,True,indigo,1,49,cool,Positive
wise,wise,True,purple,0,49,cool,Positive
logical,logical,True,yellow,0,50,warm,Neutral
critical,critical,False,yellow,1,51,warm,Negative
critical,critical,False,white,0,51,neutral,Negative
judgmental,judgmental,False,yellow,0,52,warm,Negative
judgmental,judgmental,False,indigo,0,52,cool,Negative
judgmental,judgmental,False,green,0,52,cool,Negative
overly_analytical,overly analytical,False,yellow,0,53,warm,Negative
impatient,impatient,False,yellow,0,54,warm,Negative
impatient,impatient,False,magenta,0,54,warm,Negative
impulsive,impulsive,False,yellow,0,55,warm,Negative
impulsive,impulsive,False,magenta,0,55,warm,Negative
egotistical,egotistical,False,yellow,0,56,warm,Negative
egotistical,egotistical,False,gold,0,56,warm,Negative
inferiority_complex,inferiority complex,False,yellow,0,57,warm,Negative
spiteful,spiteful,False,yellow,0,58,warm,Negative
cowardly,cowardly,False,yellow,0,59,warm,Negative
deceitful,deceitful,False,yellow,0,60,warm,Negative
non-emotional,non-emotional,False,yellow,1,61,warm,Negative
non-emotional,non-emotional,False,grey,1,61,neutral,Negative
non-emotional,non-emotional,False,turquoise,1,61,cool,Negative
lacking_compassion,lacking compassion,False,yellow,0,62,warm,Negative
growth,growth,True,green,2,63,cool,Positive
growth,growth,True,turquoise,0,63,cool,Positive
growth,growth,True,white,0,63,neutral,Positive
renewal_and_restoration,renewal and restoration,True,green,0,64,cool,Positive
reliable_and_responsible,reliable and responsible,True,green,0,65,cool,Positive
reliable_and_responsible,reliable and responsible,True,blue,2,65,cool,Positive
reliable_and_responsible,reliable and responsible,True,indigo,0,65,cool,Positive
reliable_and_responsible,reliable and responsible,True,brown,0,65,neutral,Positive
reliable_and_responsible,reliable and responsible,True,silver,1,65,cool,Positive
reliable_and_responsible,reliable and responsible,True,grey,0,65,neutral,Positive
tactful,tactful,True,green,0,66,cool,Positive
tactful,tactful,True,blue,0,66,cool,Positive
calm,calm,True,green,0,67,cool,Positive
calm,calm,True,blue,1,67,cool,Positive
calm,calm,True,turquoise,1,67,cool,Positive
calm,calm,True,pink,1,67,warm,Positive
calm,calm,True,grey,0,67,neutral,Positive
calm,calm,True,silver,1,67,cool,Positive
calm,calm,True,magenta,0,67,warm,Positive
calm,calm,True,brown,0,67,neutral,Positive
calm,calm,True,white,0,67,neutral,Positive
nature_lover,nature lover,True,green,0,68,cool,Positive
practical,practical,True,green,0,69,cool,Positive
practical,practical,True,magenta,0,69,warm,Positive
practical,practical,True,brown,0,69,neutral,Positive
practical,practical,True,grey,0,69,neutral,Positive
down_to_earth,down to earth,True,green,0,70,cool,Positive
down_to_earth,down to earth,True,brown,0,70,neutral,Positive
sympathetic,sympathetic,True,green,0,71,cool,Positive
caring_and_nurturing,caring and nurturing,True,green,1,72,cool,Positive
caring_and_nurturing,caring and nurturing,True,blue,0,72,cool,Positive
caring_and_nurturing,caring and nurturing,True,pink,2,72,warm,Positive
caring_and_nurturing,caring and nurturing,True,turquoise,0,72,cool,Positive
caring_and_nurturing,caring and nurturing,True,magenta,0,72,warm,Positive
generous,generous,True,green,0,73,cool,Positive
generous,generous,True,gold,1,73,warm,Positive
kind,kind,True,green,0,74,cool,Positive
kind,kind,True,magenta,0,74,warm,Positive
kind,kind,True,pink,0,74,warm,Positive
loyal,loyal,True,green,0,75,cool,Positive
loyal,loyal,True,blue,0,75,cool,Positive
loyal,loyal,True,brown,0,75,neutral,Positive
adaptable,adaptable,True,green,0,76,cool,Positive
need_to_belong,need to belong,True,green,0,77,cool,Neutral
possessive_and_materialistic,possessive and materialistic,False,green,1,78,cool,Negative
possessive_and_materialistic,possessive and materialistic,False,brown,2,78,neutral,Negative
indifferent,indifferent,False,green,0,79,cool,Neutral
indifferent,indifferent,False,grey,0,79,neutral,Neutral
over-cautious,over-cautious,False,green,0,80,cool,Negative
over-cautious,over-cautious,False,pink,0,80,warm,Negative
over-cautious,over-cautious,False,white,0,80,neutral,Negative
envious,envious,False,green,1,81,cool,Negative
selfish,selfish,False,green,0,82,cool,Negative
selfish,selfish,False,gold,0,82,warm,Negative
greedy,greedy,False,green,0,83,cool,Negative
devious_with_money,devious with money,False,green,0,84,cool,Negative
inconsiderate,inconsiderate,False,green,0,85,cool,Negative
inexperienced,inexperienced,False,green,0,86,cool,Negative
inexperienced,inexperienced,False,pink,0,86,warm,Negative
trustworthy,trustworthy,True,blue,2,87,cool,Positive
trustworthy,trustworthy,True,brown,0,87,neutral,Positive
conservative,conservative,True,blue,1,88,cool,Negative
conservative,conservative,True,grey,0,88,neutral,Negative
idealistic,idealistic,True,blue,0,89,cool,Positive
idealistic,idealistic,True,indigo,1,89,cool,Positive
idealistic,idealistic,True,turquoise,0,89,cool,Positive
orderly,orderly,True,blue,1,90,cool,Positive
orderly,orderly,True,indigo,1,90,cool,Positive
authority,authority,True,blue,1,91,cool,Neutral
authority,authority,True,black,0,91,neutral,Neutral
rigid,rigid,False,blue,1,92,cool,Negative
rigid,rigid,False,silver,0,92,cool,Negative
deceitful_and_spiteful,deceitful and spiteful,False,blue,0,93,cool,Negative
depressed_and_sad,depressed and sad,False,blue,0,94,cool,Negative
depressed_and_sad,depressed and sad,False,indigo,0,94,cool,Negative
depressed_and_sad,depressed and sad,False,grey,1,94,neutral,Negative
depressed_and_sad,depressed and sad,False,black,1,94,neutral,Negative
depressed_and_sad,depressed and sad,False,purple,0,94,cool,Negative
depressed_and_sad,depressed and sad,False,magenta,0,94,warm,Negative
too_passive,too passive,False,blue,0,95,cool,Negative
self-righteous,self-righteous,False,blue,0,96,cool,Negative
self-righteous,self-righteous,False,indigo,0,96,cool,Negative
self-righteous,self-righteous,False,gold,0,96,warm,Negative
superstitious,superstitious,False,blue,0,97,cool,Negative
emotionally_unstable,emotionally unstable,False,blue,0,98,cool,Negative
too_conservative_and_old-fashioned,too conservative and old-fashioned,False,blue,0,99,cool,Negative
too_conservative_and_old-fashioned,too conservative and old-fashioned,False,black,0,99,neutral,Negative
predictable,predictable,True,blue,1,100,cool,Neutral
predictable,predictable,True,brown,0,100,neutral,Neutral
weak,weak,False,blue,0,101,cool,Negative
unforgiving,unforgiving,False,blue,0,102,cool,Negative
aloof_and_frigid,aloof and frigid,False,blue,0,103,cool,Negative
aloof_and_frigid,aloof and frigid,False,purple,0,103,cool,Negative
aloof_and_frigid,aloof and frigid,False,turquoise,0,103,cool,Negative
aloof_and_frigid,aloof and frigid,False,black,1,103,neutral,Negative
manipulative,manipulative,False,blue,0,104,cool,Negative
unfaithfulness,unfaithfulness,False,blue,0,105,cool,Negative
integrity,integrity,True,indigo,1,106,cool,Positive
integrity,integrity,True,blue,0,106,cool,Positive
integrity,integrity,True,purple,0,106,cool,Positive
sincere,sincere/sincerity,True,indigo,0,107,cool,Positive
sincere,sincere/sincerity,True,brown,0,107,neutral,Positive
sincere,sincere/sincerity,True,blue,0,107,cool,Positive
structure,structure,True,indigo,1,108,cool,Neutral
structure,structure,True,brown,1,108,neutral,Neutral
regulations,regulations,True,indigo,0,109,cool,Neutral
obedient,obedient,True,indigo,0,110,cool,Neutral
intuition,intuition/intuitive,True,indigo,2,111,cool,Neutral
intuition,intuition/intuitive,True,purple,0,111,cool,Neutral
intuition,intuition/intuitive,True,turquoise,0,111,cool,Neutral
intuition,intuition/intuitive,True,pink,0,111,warm,Neutral
intuition,intuition/intuitive,True,magenta,0,111,warm,Neutral
faithful,faithful,True,indigo,0,112,cool,Positive
selfless,selfless,True,indigo,0,113,cool,Positive
selfless,selfless,True,purple,0,113,cool,Positive
fanatical,fanatical,False,indigo,0,114,cool,Negative
impractical,impractical,False,indigo,0,115,cool,Negative
impractical,impractical,False,purple,1,115,cool,Negative
conformity,conformity,False,indigo,1,116,cool,Neutral
addictive,addiction invoking/addictive,False,indigo,1,117,cool,Negative
bigoted,bigoted,False,indigo,0,118,cool,Negative
avoiding_conflict,avoiding conflict,False,indigo,0,119,cool,Neutral
psychic,psychic,True,purple,0,120,cool,Neutral
humanitarian,humanitarian,True,purple,0,121,cool,Positive
unlimited,unlimited,True,purple,0,122,cool,Positive
mysterious,mysterious,True,purple,0,123,cool,Neutral
mysterious,mysterious,True,black,2,123,neutral,Neutral
mysterious,mysterious,True,silver,0,123,cool,Neutral
fantasy,fantasy,True,purple,0,124,cool,Positive
future_state_of_mind,future state of mind/dreams,True,purple,0,125,cool,Neutral
futuristic,futuristic,True,white,1,126,neutral,Neutral
immature,immature,False,purple,1,127,cool,Negative
immature,immature,False,pink,1,127,warm,Negative
cynical,cynical,False,purple,1,128,cool,Negative
pompous_and_arrogant,pompous and arrogant,False,purple,0,129,cool,Negative
pompous_and_arrogant,pompous and arrogant,False,magenta,0,129,warm,Negative
fraudulent_and_corrupt,fraudulent and corrupt,False,purple,0,130,cool,Negative
delusions_of_grandeur,delusions of grandeur,False,purple,0,131,cool,Negative
communicative,communicative,True,turquoise,2,132,cool,Positive
communicative,communicative,True,orange,2,132,warm,Positive
communicative,communicative,True,yellow,1,132,warm,Positive
communicative,communicative,True,blue,1,132,cool,Positive
clarity_of_thought,clarity of thought,True,turquoise,2,133,cool,Positive
clarity_of_thought,clarity of thought,True,yellow,0,133,warm,Positive
clarity_of_thought,clarity of thought,True,green,0,133,cool,Positive
emotional_balance_and_harmony,emotional balance and harmony,True,turquoise,0,134,cool,Positive
emotional_balance_and_harmony,emotional balance and harmony,True,magenta,2,134,warm,Positive
emotional_balance_and_harmony,emotional balance and harmony,True,green,2,134,cool,Positive
emotional_balance_and_harmony,emotional balance and harmony,True,purple,0,134,cool,Positive
compassion_and_understanding,compassion and understanding,True,turquoise,0,135,cool,Positive
compassion_and_understanding,compassion and understanding,True,pink,1,135,warm,Positive
compassion_and_understanding,compassion and understanding,True,magenta,1,135,warm,Positive
compassion_and_understanding,compassion and understanding,True,gold,1,135,warm,Positive
compassion_and_understanding,compassion and understanding,True,silver,0,135,cool,Positive
healing,healing,True,turquoise,0,136,cool,Positive
self-sufficient,self-sufficient,True,turquoise,1,137,cool,Positive
self-sufficient,self-sufficient,True,white,0,137,neutral,Positive
boastful,boastful,False,turquoise,0,138,cool,Negative
secretive,secretive,True,turquoise,0,139,cool,Negative
secretive,secretive,True,black,0,139,neutral,Negative
unreliable,unreliable,False,turquoise,0,140,cool,Negative
reticent,reticent,False,turquoise,0,141,cool,Negative
fence-sitter,fence-sitter,False,turquoise,0,142,cool,Negative
fence-sitter,fence-sitter,False,grey,0,142,neutral,Negative
deceptive,deceptive,False,turquoise,0,143,cool,Negative
deceptive,deceptive,False,silver,0,143,cool,Negative
love,love,True,pink,2,144,warm,Positive
love,love,True,red,0,144,warm,Positive
love,love,True,magenta,0,144,warm,Positive
love,love,True,gold,0,144,warm,Positive
love,love,True,purple,0,144,cool,Positive
romantic,romantic,True,pink,0,145,warm,Positive
romantic,romantic,True,red,0,145,warm,Positive
warm,warm,True,pink,0,146,warm,Positive
warm,warm,True,brown,0,146,neutral,Positive
warm,warm,True,red,0,146,warm,Positive
warm,warm,True,orange,0,146,warm,Positive
warm,warm,True,gold,0,146,warm,Positive
hopeful,hopeful,True,pink,1,147,warm,Positive
hopeful,hopeful,True,yellow,0,147,warm,Positive
hopeful,hopeful,True,green,1,147,cool,Positive
hopeful,hopeful,True,white,0,147,neutral,Positive
sweet,sweet,True,pink,0,148,warm,Positive
feminine,feminine,True,pink,0,149,warm,Neutral
feminine,feminine,True,silver,1,149,cool,Neutral
physically_weak,physically weak,False,pink,0,150,warm,Negative
over-emotional,over-emotional,False,pink,0,151,warm,Negative
over-emotional,over-emotional,False,turquoise,0,151,cool,Negative
emotional_neediness,emotional neediness,False,pink,0,152,warm,Negative
unrealistic_expectations,unrealistic expectations,False,pink,0,153,warm,Negative
naive,naive,False,pink,0,154,warm,Negative
girlish,girlish,False,pink,0,155,warm,Neutral
lack_of_will_power,lack of will power,False,pink,0,156,warm,Negative
lack_of_self_worth,lack of self worth,False,pink,0,157,warm,Negative
helps_the_spirit_soar,helps the spirit soar,True,magenta,0,158,warm,Positive
spiritual,spiritual,True,magenta,0,159,warm,Positive
spiritual,spiritual,True,blue,0,159,cool,Positive
spiritual,spiritual,True,purple,2,159,cool,Positive
spiritual,spiritual,True,turquoise,0,159,cool,Positive
spiritual,spiritual,True,gold,0,159,warm,Positive
common_sense,encourages common sense,True,magenta,0,160,warm,Neutral
supportive,supportive,True,magenta,0,161,warm,Positive
supportive,supportive,True,brown,0,161,neutral,Positive
imaginative,imaginative,True,magenta,0,162,warm,Positive
innovative,innovative,True,magenta,0,163,warm,Positive
artistic,artistic,True,magenta,0,164,warm,Positive
non-conformist,non-conformist,True,magenta,1,165,warm,Neutral
negotiator,negotiator,True,magenta,0,166,warm,Positive
avoids_challenges,avoids challenges,False,magenta,0,167,warm,Negative
disconnected_to_others,disconnected to others,False,magenta,0,168,warm,Negative
bossy,bossy,False,magenta,0,169,warm,Negative
demanding,demanding,False,magenta,0,170,warm,Negative
demanding,demanding,False,gold,0,170,warm,Negative
wholesome,wholesome,True,brown,1,171,neutral,Positive
approachable,approachable,True,brown,0,172,neutral,Positive
friendly,friendly,True,brown,0,173,neutral,Positive
friendly,friendly,True,green,0,173,cool,Positive
friendly,friendly,True,turquoise,0,173,cool,Positive
friendly,friendly,True,orange,1,173,warm,Positive
stable,stable,True,brown,1,174,neutral,Neutral
stable,stable,True,grey,0,174,neutral,Neutral
stable,stable,True,green,0,174,cool,Neutral
stable,stable,True,purple,0,174,cool,Neutral
comforting,comforting,True,brown,1,175,neutral,Positive
comforting,comforting,True,black,0,175,neutral,Positive
comforting,comforting,True,pink,0,175,warm,Positive
comforting,comforting,True,white,0,175,neutral,Positive
protective,protective,True,brown,2,176,neutral,Positive
protective,protective,True,black,2,176,neutral,Positive
protective,protective,True,white,0,176,neutral,Positive
sensual,sensual,True,brown,0,177,neutral,Positive
sensitive,sensitive,True,brown,0,178,neutral,Neutral
sensitive,sensitive,True,purple,0,178,cool,Neutral
sensitive,sensitive,True,turquoise,0,178,cool,Neutral
sensitive,sensitive,True,pink,0,178,warm,Neutral
sensitive,sensitive,True,silver,0,178,cool,Neutral
reassured,reassured,True,brown,0,179,neutral,Positive
honest,honest,True,brown,0,180,neutral,Positive
honest,honest,True,blue,1,180,cool,Positive
quality,quality,True,brown,0,181,neutral,Positive
quality,quality,True,gold,0,181,warm,Positive
dull,dull,False,brown,0,182,neutral,Negative
dull,dull,False,silver,0,182,cool,Negative
dull,dull,False,gold,0,182,warm,Negative
boring,boring,False,brown,0,183,neutral,Negative
boring,boring,False,grey,0,183,neutral,Negative
boring,boring,False,white,0,183,neutral,Negative
frugal,frugal,False,brown,0,184,neutral,Negative
lack_of_humor,lack of humor,False,brown,0,185,neutral,Negative
unsophisticated,unsophisticated/lack of sophistication,False,brown,0,186,neutral,Negative
cheap_and_stingy,cheap and stingy,False,brown,0,187,neutral,Negative
dignified,dignified,True,grey,0,188,neutral,Positive
dignified,dignified,True,silver,1,188,cool,Positive
dignified,dignified,True,indigo,0,188,cool,Positive
dignified,dignified,True,purple,1,188,cool,Positive
dignified,dignified,True,black,1,188,neutral,Positive
neutral,neutral,True,grey,1,189,neutral,Neutral
neutral,neutral,True,silver,0,189,cool,Neutral
neutral,neutral,True,white,0,189,neutral,Neutral
impartial,impartial,True,grey,0,190,neutral,Neutral
impartial,impartial,True,white,1,190,neutral,Neutral
professional,professional,True,grey,1,191,neutral,Neutral
professional,professional,True,blue,2,191,cool,Neutral
professional,professional,True,black,0,191,neutral,Neutral
professional,professional,True,brown,0,191,neutral,Neutral
mature,mature,True,grey,0,192,neutral,Neutral
mature,mature,True,brown,0,192,neutral,Neutral
mature,mature,True,silver,0,192,cool,Neutral
intelligent,intelligent,True,grey,0,193,neutral,Positive
intelligent,intelligent,True,yellow,2,193,warm,Positive
intelligent,intelligent,True,blue,0,193,cool,Positive
classic,classic,True,grey,0,194,neutral,Neutral
solid,solid,True,grey,0,195,neutral,Neutral
solid,solid,True,brown,0,195,neutral,Neutral
subdued,subdued,False,grey,0,196,neutral,Negative
reserved,reserved,True,grey,0,197,neutral,Neutral
reserved,reserved,True,blue,0,197,cool,Neutral
elegant,elegant,True,grey,0,198,neutral,Positive
elegant,elegant,True,gold,0,198,warm,Positive
elegant,elegant,True,black,0,198,neutral,Positive
formal,formal,True,grey,0,199,neutral,Neutral
formal,formal,True,black,1,199,neutral,Neutral
dependable,dependable,True,grey,0,200,neutral,Neutral
dependable,dependable,True,green,1,200,cool,Neutral
dependable,dependable,True,brown,0,200,neutral,Neutral
indecisive,indecisive,False,grey,2,201,neutral,Neutral
indecisive,indecisive,False,silver,0,201,cool,Neutral
lifeless,lifeless,False,grey,0,202,neutral,Negative
lifeless,lifeless,False,silver,1,202,cool,Negative
lonely,lonely,False,grey,0,203,neutral,Negative
lonely,lonely,False,silver,0,203,cool,Negative
isolated,isolated,False,grey,0,204,neutral,Negative
isolated,isolated,False,white,0,204,neutral,Negative
illuminative,illuminative,True,silver,1,205,cool,Neutral
illuminative,illuminative,True,yellow,0,205,warm,Neutral
reflective,reflective/reflect on a change or self,True,silver,1,206,cool,Neutral
reflective,reflective/reflect on a change or self,True,white,0,206,neutral,Neutral
soothing,soothing,True,silver,1,207,cool,Positive
glamorous,glamorous,True,silver,0,208,cool,Positive
self_control,self control,True,silver,0,209,cool,Neutral
self_control,self control,True,black,0,209,neutral,Neutral
organised,organised,True,silver,0,210,cool,Neutral
insightful,insightful,True,silver,0,211,cool,Neutral
insightful,insightful,True,green,0,211,cool,Neutral
insightful,insightful,True,blue,0,211,cool,Neutral
insightful,insightful,True,pink,0,211,warm,Neutral
modern,modern,True,silver,0,212,cool,Neutral
sleek,sleek,True,silver,0,213,cool,Neutral
hi-tech,hi-tech,True,silver,0,214,cool,Neutral
hi-tech,hi-tech,True,blue,0,214,cool,Neutral
scientific,scientific,True,silver,0,215,cool,Neutral
melancholy,melancholy,False,silver,0,216,cool,Negative
colorless,colorless,False,silver,0,217,cool,Negative
negative,negative,False,silver,0,218,cool,Negative
negative,negative,False,black,0,218,neutral,Negative
successful,successful,True,gold,2,219,warm,Positive
abundant,abundant,True,gold,0,220,warm,Positive
wealthy,wealthy,True,gold,2,221,warm,Positive
wealthy,wealthy,True,green,0,221,cool,Positive
wealthy,wealthy,True,purple,0,221,cool,Positive
wealthy,wealthy,True,brown,2,221,neutral,Positive
wealthy,wealthy,True,silver,1,221,cool,Positive
self-worth,self-worth,True,gold,0,222,warm,Positive
charismatic,charismatic,True,gold,0,223,warm,Positive
winning,winning,True,gold,0,224,warm,Positive
positive,positive,True,gold,0,225,warm,Positive
positive,positive,True,red,0,225,warm,Positive
positive,positive,True,green,0,225,cool,Positive
positive,positive,True,pink,0,225,warm,Positive
masculine,masculine,True,gold,0,226,warm,Neutral
masculine,masculine,True,red,0,226,warm,Neutral
fear_of_failure,fear of failure,False,gold,0,227,warm,Negative
fear_of_losing_wealth,fear of losing wealth,False,gold,0,228,warm,Negative
self-centred,self-centred,False,gold,0,229,warm,Negative
self-centred,self-centred,False,turquoise,0,229,cool,Negative
mean_spirited,mean spirited,False,gold,0,230,warm,Negative
untrustful,lack of trust/untrustful,False,gold,0,231,warm,Negative
false,false,False,gold,0,232,warm,Negative
innocent,innocent,True,white,2,233,neutral,Positive
innocent,innocent,True,pink,0,233,warm,Positive
pure,pure,True,white,2,234,neutral,Positive
pure,pure,True,pink,0,234,warm,Positive
pure,pure,True,silver,0,234,cool,Positive
cleanliness,cleanliness,True,white,0,235,neutral,Positive
equality,equality,True,white,1,236,neutral,Positive
complete_and_whole,complete and whole,True,white,2,237,neutral,Positive
complete_and_whole,complete and whole,True,pink,0,237,warm,Positive
simple,simple,True,white,0,238,neutral,Neutral
simple,simple,True,brown,0,238,neutral,Neutral
immaculate_and_neat,immaculate and neat,True,white,0,239,neutral,Positive
pristine,pristine,True,white,0,240,neutral,Positive
open,open,True,white,0,241,neutral,Neutral
open,open,True,pink,0,241,warm,Neutral
new_beginnings,new beginnings,True,white,1,242,neutral,Positive
sterile,sterile,False,white,0,243,neutral,Neutral
stark,stark,False,white,0,244,neutral,Negative
fastidious,fastidious,False,white,0,245,neutral,Neutral
empty,empty,False,white,0,246,neutral,Negative
plain,plain,False,white,0,247,neutral,Negative
distant,distant,False,white,0,248,neutral,Negative
unimaginative,unimaginative,False,white,0,249,neutral,Negative
contained,contained,True,black,0,250,neutral,Positive
sophisticated,sophisticated,True,black,1,251,neutral,Positive
sophisticated,sophisticated,True,silver,0,251,cool,Positive
sophisticated,sophisticated,True,gold,0,251,warm,Positive
sexy_and_seductive,sexy and seductive,True,black,0,252,neutral,Positive
sexy_and_seductive,sexy and seductive,True,red,0,252,warm,Positive
withholding,withholding,False,black,0,253,neutral,Negative
serious,serious,True,black,0,254,neutral,Neutral
serious,serious,True,brown,0,254,neutral,Neutral
control,control,True,black,1,255,neutral,Neutral
control,control,True,grey,1,255,neutral,Neutral
strong_will,strong will,True,red,0,256,warm,Positive
strong_will,strong will,True,black,0,256,neutral,Positive
appetite,"stimulates the appetite, food craving",True,red,0,257,warm,Positive
appetite,"stimulates the appetite, food craving",True,orange,0,257,warm,Positive
physical_desires,physical desires,True,red,1,258,warm,Positive
motivating,motivating,True,red,1,259,warm,Positive
happy,happy,True,orange,0,260,warm,Positive
happy,happy,True,yellow,1,260,warm,Positive
happy,happy,True,turquoise,0,260,cool,Positive
happy,happy,True,magenta,0,260,warm,Positive
emotionally_strong,emotionally strong,True,orange,0,261,warm,Positive
uplifting,uplifting,True,yellow,0,262,warm,Positive
uplifting,uplifting,True,turquoise,0,262,cool,Positive
uplifting,uplifting,True,magenta,0,262,warm,Positive
anxious,anxiety producing/anxious,False,yellow,1,263,warm,Negative
anxious,anxiety producing/anxious,False,magenta,0,263,warm,Negative
highly_visible,highly visible,True,yellow,0,264,warm,Neutral
quick_decisions,quick decisions,True,yellow,1,265,warm,Neutral
quick_decisions,quick decisions,True,turquoise,0,265,cool,Neutral
relaxing,relaxing/removes stress,True,green,0,266,cool,Positive
relaxing,relaxing/removes stress,True,blue,0,266,cool,Positive
peace,peace,True,green,0,267,cool,Positive
peace,peace,True,blue,1,267,cool,Positive
peace,peace,True,turquoise,0,267,cool,Positive
peace,peace,True,magenta,0,267,warm,Positive
peace,peace,True,white,0,267,neutral,Positive
