emotion,color,correlation,tone,sentiment,hex
creative,indigo,0,cool,Positive,#4B0082
creative,white,0,neutral,Positive,#FFFFFF
warm-hearted,orange,0,warm,Positive,#FFA500
agreeable,orange,0,warm,Positive,#FFA500
agreeable,green,1,cool,Positive,#008000
informal,orange,0,warm,Positive,#FFA500
superficial_and_insincere,orange,0,warm,Negative,#FFA500
superficial_and_insincere,silver,0,cool,Negative,#C0C0C0
dependent,orange,0,warm,Neutral,#FFA500
self-indulgent,orange,0,warm,Negative,#FFA500
exhibitionist,orange,0,warm,Negative,#FFA500
pessimistic,orange,0,warm,Negative,#FFA500
pessimistic,yellow,0,warm,Negative,#FFFF00
pessimistic,black,1,neutral,Negative,#000000
inexpensive,orange,0,warm,Positive,#FFA500
overly_proud,orange,0,warm,Negative,#FFA500
fun,yellow,1,warm,Positive,#FFFF00
good-humored,yellow,0,warm,Positive,#FFFF00
original,yellow,0,warm,Neutral,#FFFF00
original,purple,0,cool,Neutral,#800080
challenging,yellow,0,warm,Neutral,#FFFF00
academic_and_analytical,yellow,0,warm,Neutral,#FFFF00
wise,yellow,0,warm,Positive,#FFFF00
wise,silver,0,cool,Positive,#C0C0C0
wise,gold,0,warm,Positive,#FFD700
wise,blue,1,cool,Positive,#0000FF
wise,indigo,1,cool,Positive,#4B0082
wise,purple,0,cool,Positive,#800080
logical,yellow,0,warm,Neutral,#FFFF00
critical,yellow,1,warm,Negative,#FFFF00
critical,white,0,neutral,Negative,#FFFFFF
judgmental,yellow,0,warm,Negative,#FFFF00
judgmental,indigo,0,cool,Negative,#4B0082
judgmental,green,0,cool,Negative,#008000
overly_analytical,yellow,0,warm,Negative,#FFFF00
impatient,yellow,0,warm,Negative,#FFFF00
impatient,magenta,0,warm,Negative,#FF00FF
impulsive,yellow,0,warm,Negative,#FFFF00
impulsive,magenta,0,warm,Negative,#FF00FF
egotistical,yellow,0,warm,Negative,#FFFF00
egotistical,gold,0,warm,Negative,#FFD700
inferiority_complex,yellow,0,warm,Negative,#FFFF00
spiteful,yellow,0,warm,Negative,#FFFF00
cowardly,yellow,0,warm,Negative,#FFFF00
deceitful,yellow,0,warm,Negative,#FFFF00
non-emotional,yellow,1,warm,Negative,#FFFF00
non-emotional,grey,1,neutral,Negative,#808080
non-emotional,turquoise,1,cool,Negative,#40E0D0
lacking_compassion,yellow,0,warm,Negative,#FFFF00
growth,green,2,cool,Positive,#008000
growth,turquoise,0,cool,Positive,#40E0D0
growth,white,0,neutral,Positive,#FFFFFF
renewal_and_restoration,green,0,cool,Positive,#008000
reliable_and_responsible,green,0,cool,Positive,#008000
reliable_and_responsible,blue,2,cool,Positive,#0000FF
reliable_and_responsible,indigo,0,cool,Positive,#4B0082
reliable_and_responsible,brown,0,neutral,Positive,#A52A2A
reliable_and_responsible,silver,1,cool,Positive,#C0C0C0
reliable_and_responsible,grey,0,neutral,Positive,#808080
tactful,green,0,cool,Positive,#008000
tactful,blue,0,cool,Positive,#0000FF
calm,green,0,cool,Positive,#008000
calm,blue,1,cool,Positive,#0000FF
calm,turquoise,1,cool,Positive,#40E0D0
calm,pink,1,warm,Positive,#FFC0CB
calm,grey,0,neutral,Positive,#808080
calm,silver,1,cool,Positive,#C0C0C0
calm,magenta,0,warm,Positive,#FF00FF
calm,brown,0,neutral,Positive,#A52A2A
calm,white,0,neutral,Positive,#FFFFFF
nature_lover,green,0,cool,Positive,#008000
practical,green,0,cool,Positive,#008000
practical,magenta,0,warm,Positive,#FF00FF
practical,brown,0,neutral,Positive,#A52A2A
practical,grey,0,neutral,Positive,#808080
down_to_earth,green,0,cool,Positive,#008000
down_to_earth,brown,0,neutral,Positive,#A52A2A
sympathetic,green,0,cool,Positive,#008000
caring_and_nurturing,green,1,cool,Positive,#008000
caring_and_nurturing,blue,0,cool,Positive,#0000FF
caring_and_nurturing,pink,2,warm,Positive,#FFC0CB
caring_and_nurturing,turquoise,0,cool,Positive,#40E0D0
caring_and_nurturing,magenta,0,warm,Positive,#FF00FF
generous,green,0,cool,Positive,#008000
generous,gold,1,warm,Positive,#FFD700
kind,green,0,cool,Positive,#008000
kind,magenta,0,warm,Positive,#FF00FF
kind,pink,0,warm,Positive,#FFC0CB
loyal,green,0,cool,Positive,#008000
loyal,blue,0,cool,Positive,#0000FF
loyal,brown,0,neutral,Positive,#A52A2A
adaptable,green,0,cool,Positive,#008000
need_to_belong,green,0,cool,Neutral,#008000
possessive_and_materialistic,green,1,cool,Negative,#008000
possessive_and_materialistic,brown,2,neutral,Negative,#A52A2A
indifferent,green,0,cool,Neutral,#008000
indifferent,grey,0,neutral,Neutral,#808080
over-cautious,green,0,cool,Negative,#008000
over-cautious,pink,0,warm,Negative,#FFC0CB
over-cautious,white,0,neutral,Negative,#FFFFFF
envious,green,1,cool,Negative,#008000
selfish,green,0,cool,Negative,#008000
selfish,gold,0,warm,Negative,#FFD700
greedy,green,0,cool,Negative,#008000
devious_with_money,green,0,cool,Negative,#008000
inconsiderate,green,0,cool,Negative,#008000
inexperienced,green,0,cool,Negative,#008000
inexperienced,pink,0,warm,Negative,#FFC0CB
trustworthy,blue,2,cool,Positive,#0000FF
trustworthy,brown,0,neutral,Positive,#A52A2A
conservative,blue,1,cool,Negative,#0000FF
conservative,grey,0,neutral,Negative,#808080
idealistic,blue,0,cool,Positive,#0000FF
idealistic,indigo,1,cool,Positive,#4B0082
idealistic,turquoise,0,cool,Positive,#40E0D0
orderly,blue,1,cool,Positive,#0000FF
orderly,indigo,1,cool,Positive,#4B0082
authority,blue,1,cool,Neutral,#0000FF
authority,black,0,neutral,Neutral,#000000
rigid,blue,1,cool,Negative,#0000FF
rigid,silver,0,cool,Negative,#C0C0C0
deceitful_and_spiteful,blue,0,cool,Negative,#0000FF
depressed_and_sad,blue,0,cool,Negative,#0000FF
depressed_and_sad,indigo,0,cool,Negative,#4B0082
depressed_and_sad,grey,1,neutral,Negative,#808080
depressed_and_sad,black,1,neutral,Negative,#000000
depressed_and_sad,purple,0,cool,Negative,#800080
depressed_and_sad,magenta,0,warm,Negative,#FF00FF
too_passive,blue,0,cool,Negative,#0000FF
self-righteous,blue,0,cool,Negative,#0000FF
self-righteous,indigo,0,cool,Negative,#4B0082
self-righteous,gold,0,warm,Negative,#FFD700
superstitious,blue,0,cool,Negative,#0000FF
emotionally_unstable,blue,0,cool,Negative,#0000FF
too_conservative_and_old-fashioned,blue,0,cool,Negative,#0000FF
too_conservative_and_old-fashioned,black,0,neutral,Negative,#000000
predictable,blue,1,cool,Neutral,#0000FF
predictable,brown,0,neutral,Neutral,#A52A2A
weak,blue,0,cool,Negative,#0000FF
unforgiving,blue,0,cool,Negative,#0000FF
aloof_and_frigid,blue,0,cool,Negative,#0000FF
aloof_and_frigid,purple,0,cool,Negative,#800080
aloof_and_frigid,turquoise,0,cool,Negative,#40E0D0
aloof_and_frigid,black,1,neutral,Negative,#000000
manipulative,blue,0,cool,Negative,#0000FF
unfaithfulness,blue,0,cool,Negative,#0000FF
integrity,indigo,1,cool,Positive,#4B0082
integrity,blue,0,cool,Positive,#0000FF
integrity,purple,0,cool,Positive,#800080
sincere,indigo,0,cool,Positive,#4B0082
sincere,brown,0,neutral,Positive,#A52A2A
sincere,blue,0,cool,Positive,#0000FF
structure,indigo,1,cool,Neutral,#4B0082
structure,brown,1,neutral,Neutral,#A52A2A
regulations,indigo,0,cool,Neutral,#4B0082
obedient,indigo,0,cool,Neutral,#4B0082
intuition,indigo,2,cool,Neutral,#4B0082
intuition,purple,0,cool,Neutral,#800080
intuition,turquoise,0,cool,Neutral,#40E0D0
intuition,pink,0,warm,Neutral,#FFC0CB
intuition,magenta,0,warm,Neutral,#FF00FF
faithful,indigo,0,cool,Positive,#4B0082
selfless,indigo,0,cool,Positive,#4B0082
selfless,purple,0,cool,Positive,#800080
fanatical,indigo,0,cool,Negative,#4B0082
impractical,indigo,0,cool,Negative,#4B0082
impractical,purple,1,cool,Negative,#800080
conformity,indigo,1,cool,Neutral,#4B0082
addictive,indigo,1,cool,Negative,#4B0082
bigoted,indigo,0,cool,Negative,#4B0082
avoiding_conflict,indigo,0,cool,Neutral,#4B0082
psychic,purple,0,cool,Neutral,#800080
humanitarian,purple,0,cool,Positive,#800080
unlimited,purple,0,cool,Positive,#800080
mysterious,purple,0,cool,Neutral,#800080
mysterious,black,2,neutral,Neutral,#000000
mysterious,silver,0,cool,Neutral,#C0C0C0
fantasy,purple,0,cool,Positive,#800080
future_state_of_mind,purple,0,cool,Neutral,#800080
futuristic,white,1,neutral,Neutral,#FFFFFF
immature,purple,1,cool,Negative,#800080
immature,pink,1,warm,Negative,#FFC0CB
cynical,purple,1,cool,Negative,#800080
pompous_and_arrogant,purple,0,cool,Negative,#800080
pompous_and_arrogant,magenta,0,warm,Negative,#FF00FF
fraudulent_and_corrupt,purple,0,cool,Negative,#800080
delusions_of_grandeur,purple,0,cool,Negative,#800080
communicative,turquoise,2,cool,Positive,#40E0D0
communicative,orange,2,warm,Positive,#FFA500
communicative,yellow,1,warm,Positive,#FFFF00
communicative,blue,1,cool,Positive,#0000FF
clarity_of_thought,turquoise,2,cool,Positive,#40E0D0
clarity_of_thought,yellow,0,warm,Positive,#FFFF00
clarity_of_thought,green,0,cool,Positive,#008000
emotional_balance_and_harmony,turquoise,0,cool,Positive,#40E0D0
emotional_balance_and_harmony,magenta,2,warm,Positive,#FF00FF
emotional_balance_and_harmony,green,2,cool,Positive,#008000
emotional_balance_and_harmony,purple,0,cool,Positive,#800080
compassion_and_understanding,turquoise,0,cool,Positive,#40E0D0
compassion_and_understanding,pink,1,warm,Positive,#FFC0CB
compassion_and_understanding,magenta,1,warm,Positive,#FF00FF
compassion_and_understanding,gold,1,warm,Positive,#FFD700
compassion_and_understanding,silver,0,cool,Positive,#C0C0C0
healing,turquoise,0,cool,Positive,#40E0D0
self-sufficient,turquoise,1,cool,Positive,#40E0D0
self-sufficient,white,0,neutral,Positive,#FFFFFF
boastful,turquoise,0,cool,Negative,#40E0D0
secretive,turquoise,0,cool,Negative,#40E0D0
secretive,black,0,neutral,Negative,#000000
unreliable,turquoise,0,cool,Negative,#40E0D0
reticent,turquoise,0,cool,Negative,#40E0D0
fence-sitter,turquoise,0,cool,Negative,#40E0D0
fence-sitter,grey,0,neutral,Negative,#808080
deceptive,turquoise,0,cool,Negative,#40E0D0
deceptive,silver,0,cool,Negative,#C0C0C0
love,pink,2,warm,Positive,#FFC0CB
love,red,0,warm,Positive,#FF0000
love,magenta,0,warm,Positive,#FF00FF
love,gold,0,warm,Positive,#FFD700
love,purple,0,cool,Positive,#800080
romantic,pink,0,warm,Positive,#FFC0CB
romantic,red,0,warm,Positive,#FF0000
warm,pink,0,warm,Positive,#FFC0CB
warm,brown,0,neutral,Positive,#A52A2A
warm,red,0,warm,Positive,#FF0000
warm,orange,0,warm,Positive,#FFA500
warm,gold,0,warm,Positive,#FFD700
hopeful,pink,1,warm,Positive,#FFC0CB
hopeful,yellow,0,warm,Positive,#FFFF00
hopeful,green,1,cool,Positive,#008000
hopeful,white,0,neutral,Positive,#FFFFFF
sweet,pink,0,warm,Positive,#FFC0CB
feminine,pink,0,warm,Neutral,#FFC0CB
feminine,silver,1,cool,Neutral,#C0C0C0
physically_weak,pink,0,warm,Negative,#FFC0CB
over-emotional,pink,0,warm,Negative,#FFC0CB
over-emotional,turquoise,0,cool,Negative,#40E0D0
emotional_neediness,pink,0,warm,Negative,#FFC0CB
unrealistic_expectations,pink,0,warm,Negative,#FFC0CB
naive,pink,0,warm,Negative,#FFC0CB
girlish,pink,0,warm,Neutral,#FFC0CB
lack_of_will_power,pink,0,warm,Negative,#FFC0CB
lack_of_self_worth,pink,0,warm,Negative,#FFC0CB
helps_the_spirit_soar,magenta,0,warm,Positive,#FF00FF
spiritual,magenta,0,warm,Positive,#FF00FF
spiritual,blue,0,cool,Positive,#0000FF
spiritual,purple,2,cool,Positive,#800080
spiritual,turquoise,0,cool,Positive,#40E0D0
spiritual,gold,0,warm,Positive,#FFD700
common_sense,magenta,0,warm,Neutral,#FF00FF
supportive,magenta,0,warm,Positive,#FF00FF
supportive,brown,0,neutral,Positive,#A52A2A
imaginative,magenta,0,warm,Positive,#FF00FF
innovative,magenta,0,warm,Positive,#FF00FF
artistic,magenta,0,warm,Positive,#FF00FF
non-conformist,magenta,1,warm,Neutral,#FF00FF
negotiator,magenta,0,warm,Positive,#FF00FF
avoids_challenges,magenta,0,warm,Negative,#FF00FF
disconnected_to_others,magenta,0,warm,Negative,#FF00FF
bossy,magenta,0,warm,Negative,#FF00FF
demanding,magenta,0,warm,Negative,#FF00FF
demanding,gold,0,warm,Negative,#FFD700
wholesome,brown,1,neutral,Positive,#A52A2A
approachable,brown,0,neutral,Positive,#A52A2A
friendly,brown,0,neutral,Positive,#A52A2A
friendly,green,0,cool,Positive,#008000
friendly,turquoise,0,cool,Positive,#40E0D0
friendly,orange,1,warm,Positive,#FFA500
stable,brown,1,neutral,Neutral,#A52A2A
stable,grey,0,neutral,Neutral,#808080
stable,green,0,cool,Neutral,#008000
stable,purple,0,cool,Neutral,#800080
comforting,brown,1,neutral,Positive,#A52A2A
comforting,black,0,neutral,Positive,#000000
comforting,pink,0,warm,Positive,#FFC0CB
comforting,white,0,neutral,Positive,#FFFFFF
protective,brown,2,neutral,Positive,#A52A2A
protective,black,2,neutral,Positive,#000000
protective,white,0,neutral,Positive,#FFFFFF
sensual,brown,0,neutral,Positive,#A52A2A
sensitive,brown,0,neutral,Neutral,#A52A2A
sensitive,purple,0,cool,Neutral,#800080
sensitive,turquoise,0,cool,Neutral,#40E0D0
sensitive,pink,0,warm,Neutral,#FFC0CB
sensitive,silver,0,cool,Neutral,#C0C0C0
reassured,brown,0,neutral,Positive,#A52A2A
honest,brown,0,neutral,Positive,#A52A2A
honest,blue,1,cool,Positive,#0000FF
quality,brown,0,neutral,Positive,#A52A2A
quality,gold,0,warm,Positive,#FFD700
dull,brown,0,neutral,Negative,#A52A2A
dull,silver,0,cool,Negative,#C0C0C0
dull,gold,0,warm,Negative,#FFD700
boring,brown,0,neutral,Negative,#A52A2A
boring,grey,0,neutral,Negative,#808080
boring,white,0,neutral,Negative,#FFFFFF
frugal,brown,0,neutral,Negative,#A52A2A
lack_of_humor,brown,0,neutral,Negative,#A52A2A
unsophisticated,brown,0,neutral,Negative,#A52A2A
cheap_and_stingy,brown,0,neutral,Negative,#A52A2A
dignified,grey,0,neutral,Positive,#808080
dignified,silver,1,cool,Positive,#C0C0C0
dignified,indigo,0,cool,Positive,#4B0082
dignified,purple,1,cool,Positive,#800080
dignified,black,1,neutral,Positive,#000000
neutral,grey,1,neutral,Neutral,#808080
neutral,silver,0,cool,Neutral,#C0C0C0
neutral,white,0,neutral,Neutral,#FFFFFF
impartial,grey,0,neutral,Neutral,#808080
impartial,white,1,neutral,Neutral,#FFFFFF
professional,grey,1,neutral,Neutral,#808080
professional,blue,2,cool,Neutral,#0000FF
professional,black,0,neutral,Neutral,#000000
professional,brown,0,neutral,Neutral,#A52A2A
mature,grey,0,neutral,Neutral,#808080
mature,brown,0,neutral,Neutral,#A52A2A
mature,silver,0,cool,Neutral,#C0C0C0
intelligent,grey,0,neutral,Positive,#808080
intelligent,yellow,2,warm,Positive,#FFFF00
intelligent,blue,0,cool,Positive,#0000FF
classic,grey,0,neutral,Neutral,#808080
solid,grey,0,neutral,Neutral,#808080
solid,brown,0,neutral,Neutral,#A52A2A
subdued,grey,0,neutral,Negative,#808080
reserved,grey,0,neutral,Neutral,#808080
reserved,blue,0,cool,Neutral,#0000FF
elegant,grey,0,neutral,Positive,#808080
elegant,gold,0,warm,Positive,#FFD700
elegant,black,0,neutral,Positive,#000000
formal,grey,0,neutral,Neutral,#808080
formal,black,1,neutral,Neutral,#000000
dependable,grey,0,neutral,Neutral,#808080
dependable,green,1,cool,Neutral,#008000
dependable,brown,0,neutral,Neutral,#A52A2A
indecisive,grey,2,neutral,Neutral,#808080
indecisive,silver,0,cool,Neutral,#C0C0C0
lifeless,grey,0,neutral,Negative,#808080
lifeless,silver,1,cool,Negative,#C0C0C0
lonely,grey,0,neutral,Negative,#808080
lonely,silver,0,cool,Negative,#C0C0C0
isolated,grey,0,neutral,Negative,#808080
isolated,white,0,neutral,Negative,#FFFFFF
illuminative,silver,1,cool,Neutral,#C0C0C0
illuminative,yellow,0,warm,Neutral,#FFFF00
reflective,silver,1,cool,Neutral,#C0C0C0
reflective,white,0,neutral,Neutral,#FFFFFF
soothing,silver,1,cool,Positive,#C0C0C0
glamorous,silver,0,cool,Positive,#C0C0C0
self_control,silver,0,cool,Neutral,#C0C0C0
self_control,black,0,neutral,Neutral,#000000
organised,silver,0,cool,Neutral,#C0C0C0
insightful,silver,0,cool,Neutral,#C0C0C0
insightful,green,0,cool,Neutral,#008000
insightful,blue,0,cool,Neutral,#0000FF
insightful,pink,0,warm,Neutral,#FFC0CB
modern,silver,0,cool,Neutral,#C0C0C0
sleek,silver,0,cool,Neutral,#C0C0C0
hi-tech,silver,0,cool,Neutral,#C0C0C0
hi-tech,blue,0,cool,Neutral,#0000FF
scientific,silver,0,cool,Neutral,#C0C0C0
melancholy,silver,0,cool,Negative,#C0C0C0
colorless,silver,0,cool,Negative,#C0C0C0
negative,silver,0,cool,Negative,#C0C0C0
negative,black,0,neutral,Negative,#000000
successful,gold,2,warm,Positive,#FFD700
abundant,gold,0,warm,Positive,#FFD700
wealthy,gold,2,warm,Positive,#FFD700
wealthy,green,0,cool,Positive,#008000
wealthy,purple,0,cool,Positive,#800080
wealthy,brown,2,neutral,Positive,#A52A2A
wealthy,silver,1,cool,Positive,#C0C0C0
self-worth,gold,0,warm,Positive,#FFD700
charismatic,gold,0,warm,Positive,#FFD700
winning,gold,0,warm,Positive,#FFD700
positive,gold,0,warm,Positive,#FFD700
positive,red,0,warm,Positive,#FF0000
positive,green,0,cool,Positive,#008000
positive,pink,0,warm,Positive,#FFC0CB
masculine,gold,0,warm,Neutral,#FFD700
masculine,red,0,warm,Neutral,#FF0000
fear_of_failure,gold,0,warm,Negative,#FFD700
fear_of_losing_wealth,gold,0,warm,Negative,#FFD700
self-centred,gold,0,warm,Negative,#FFD700
self-centred,turquoise,0,cool,Negative,#40E0D0
mean_spirited,gold,0,warm,Negative,#FFD700
untrustful,gold,0,warm,Negative,#FFD700
false,gold,0,warm,Negative,#FFD700
innocent,white,2,neutral,Positive,#FFFFFF
innocent,pink,0,warm,Positive,#FFC0CB
pure,white,2,neutral,Positive,#FFFFFF
pure,pink,0,warm,Positive,#FFC0CB
pure,silver,0,cool,Positive,#C0C0C0
cleanliness,white,0,neutral,Positive,#FFFFFF
equality,white,1,neutral,Positive,#FFFFFF
complete_and_whole,white,2,neutral,Positive,#FFFFFF
complete_and_whole,pink,0,warm,Positive,#FFC0CB
simple,white,0,neutral,Neutral,#FFFFFF
simple,brown,0,neutral,Neutral,#A52A2A
immaculate_and_neat,white,0,neutral,Positive,#FFFFFF
pristine,white,0,neutral,Positive,#FFFFFF
open,white,0,neutral,Neutral,#FFFFFF
open,pink,0,warm,Neutral,#FFC0CB
new_beginnings,white,1,neutral,Positive,#FFFFFF
sterile,white,0,neutral,Neutral,#FFFFFF
stark,white,0,neutral,Negative,#FFFFFF
fastidious,white,0,neutral,Neutral,#FFFFFF
empty,white,0,neutral,Negative,#FFFFFF
plain,white,0,neutral,Negative,#FFFFFF
distant,white,0,neutral,Negative,#FFFFFF
unimaginative,white,0,neutral,Negative,#FFFFFF
contained,black,0,neutral,Positive,#000000
sophisticated,black,1,neutral,Positive,#000000
sophisticated,silver,0,cool,Positive,#C0C0C0
sophisticated,gold,0,warm,Positive,#FFD700
sexy_and_seductive,black,0,neutral,Positive,#000000
sexy_and_seductive,red,0,warm,Positive,#FF0000
withholding,black,0,neutral,Negative,#000000
serious,black,0,neutral,Neutral,#000000
serious,brown,0,neutral,Neutral,#A52A2A
control,black,1,neutral,Neutral,#000000
control,grey,1,neutral,Neutral,#808080
strong_will,red,0,warm,Positive,#FF0000
strong_will,black,0,neutral,Positive,#000000
appetite,red,0,warm,Positive,#FF0000
appetite,orange,0,warm,Positive,#FFA500
physical_desires,red,1,warm,Positive,#FF0000
motivating,red,1,warm,Positive,#FF0000
happy,orange,0,warm,Positive,#FFA500
happy,yellow,1,warm,Positive,#FFFF00
happy,turquoise,0,cool,Positive,#40E0D0
happy,magenta,0,warm,Positive,#FF00FF
emotionally_strong,orange,0,warm,Positive,#FFA500
uplifting,yellow,0,warm,Positive,#FFFF00
uplifting,turquoise,0,cool,Positive,#40E0D0
uplifting,magenta,0,warm,Positive,#FF00FF
anxious,yellow,1,warm,Negative,#FFFF00
anxious,magenta,0,warm,Negative,#FF00FF
highly_visible,yellow,0,warm,Neutral,#FFFF00
quick_decisions,yellow,1,warm,Neutral,#FFFF00
quick_decisions,turquoise,0,cool,Neutral,#40E0D0
relaxing,green,0,cool,Positive,#008000
relaxing,blue,0,cool,Positive,#0000FF
peace,green,0,cool,Positive,#008000
peace,blue,1,cool,Positive,#0000FF
peace,turquoise,0,cool,Positive,#40E0D0
peace,magenta,0,warm,Positive,#FF00FF
peace,white,0,neutral,Positive,#FFFFFF
finance,green,0,cool,Neutral,#008000
secure,blue,0,cool,Neutral,#0000FF
secure,brown,2,neutral,Neutral,#A52A2A
truthful,blue,0,cool,Neutral,#0000FF
devotion,blue,0,cool,Positive,#0000FF
devotion,indigo,0,cool,Positive,#4B0082
safe_and_non-threatening,blue,0,cool,Positive,#0000FF
safe_and_non-threatening,pink,1,warm,Positive,#FFC0CB
safe_and_non-threatening,grey,0,neutral,Positive,#808080
inflexible,blue,0,cool,Negative,#0000FF
inflexible,indigo,0,cool,Negative,#4B0082
nostalgic,blue,0,cool,Neutral,#0000FF
religious,blue,1,cool,Neutral,#0000FF
religious,indigo,0,cool,Neutral,#4B0082
perceptive,indigo,2,cool,Neutral,#4B0082
perceptive,turquoise,0,cool,Neutral,#40E0D0
concentration,indigo,0,cool,Neutral,#4B0082
justice,indigo,0,cool,Neutral,#4B0082
justice,silver,0,cool,Neutral,#C0C0C0
fair,indigo,0,cool,Neutral,#4B0082
fair,white,0,neutral,Neutral,#FFFFFF
law,indigo,0,cool,Neutral,#4B0082
traditions_and_rituals,indigo,0,cool,Neutral,#4B0082
dramatic,indigo,1,cool,Neutral,#4B0082
narrow-minded,indigo,0,cool,Negative,#4B0082
introspective,indigo,1,cool,Neutral,#4B0082
introspective,purple,0,cool,Neutral,#800080
imagination,purple,2,cool,Positive,#800080
peace_of_mind,purple,0,cool,Positive,#800080
unique_and_individual,purple,1,cool,Positive,#800080
noble,purple,0,cool,Positive,#800080
noble,gold,0,warm,Positive,#FFD700
luxurious,gold,1,warm,Positive,#FFD700
luxurious,purple,0,cool,Positive,#800080
demands_respect,purple,1,cool,Negative,#800080
demands_respect,pink,0,warm,Negative,#FFC0CB
ambitious,purple,0,cool,Positive,#800080
self-assured,purple,0,cool,Positive,#800080
inspiring,purple,1,cool,Positive,#800080
inspiring,magenta,1,warm,Positive,#FF00FF
empathic,purple,1,cool,Positive,#800080
empathic,turquoise,0,cool,Positive,#40E0D0
empathic,pink,0,warm,Positive,#FFC0CB
clear_thinking,turquoise,0,cool,Positive,#40E0D0
clear_thinking,yellow,0,warm,Positive,#FFFF00
self_esteem,turquoise,0,cool,Positive,#40E0D0
observation,turquoise,0,cool,Neutral,#40E0D0
discriminatory,turquoise,0,cool,Negative,#40E0D0
intimate,pink,0,warm,Positive,#FFC0CB
removes_angriness_and_aggression,pink,0,warm,Positive,#FFC0CB
silly,pink,0,warm,Negative,#FFC0CB
affectionate,pink,1,warm,Positive,#FFC0CB
cooperative,magenta,0,warm,Positive,#FF00FF
self-respect,magenta,0,warm,Positive,#FF00FF
self-respect,orange,0,warm,Positive,#FFA500
overwhelming,magenta,0,warm,Negative,#FF00FF
irritates,magenta,0,warm,Negative,#FF00FF
change_and_transformation,magenta,1,warm,Neutral,#FF00FF
family_and_friends,green,0,cool,Positive,#008000
family_and_friends,pink,0,warm,Positive,#FFC0CB
family_and_friends,brown,0,neutral,Positive,#A52A2A
